fileid,lon,lat,date,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
102056,-0.121131948,51.51636622,202304,0.09480287,-0.026151545,-0.11744483,-0.0012927859,0.054674815,-0.019723615,-0.060907703,0.04635264,0.024564294,-0.006451203
102077,-0.121734672,51.51717751,202304,0.015667487,-0.039135832,-0.102149785,-0.003201942,0.022194857,0.011025905,-0.010522487,0.048285987,0.026606303,0.046836473
102078,-0.121605853,51.51696763,202304,-0.014373383,0.02270282,-0.019233605,-0.15611447,0.16154388,0.06650069,0.12807235,-0.06527561,-0.019601004,-0.05891099
102079,-0.121471864,51.51675902,202304,0.09617457,0.04770846,-0.12230252,-0.0968351,0.010814566,-0.0277803,-0.0058685965,0.048702087,0.0018192227,-0.01604728
102084,-0.129005803,51.52187089,201704,0.13243137,0.019140197,0.108959995,-0.052805714,-0.007877806,-0.016164083,0.13063456,0.11692435,0.1265105,-0.011808444
102085,-0.128705136,51.52199469,201704,0.08410067,-0.027995653,0.09943037,-0.14982897,0.024374897,-0.0058079516,0.121754736,0.04076396,0.0701564,-0.022208638
102101,-0.128480557,51.52280035,202208,0.3366306,0.037628215,0.0647149,-0.016080922,0.10814568,-0.035524823,0.073970586,0.10016595,0.007382551,0.081231974
102102,-0.128279309,51.52298676,202306,0.2859775,-0.19247906,-0.0200113,0.07904307,0.046335947,-0.008653132,-0.13787945,-0.08384361,-0.018556952,0.02596089
102103,-0.1293093,51.5217498,201704,0.024562629,0.105087504,0.095127955,-0.10969395,0.09323647,0.061260834,0.17314261,0.06477039,0.0381004,-0.12101137
103750,-0.132876448,51.50501219,202410,0.29661024,0.20501876,0.20639625,-0.011048986,-0.13586096,0.018290877,0.0451664,0.064295575,-0.07360551,-0.015011801
103751,-0.132575995,51.5051361,202410,0.27764204,0.19899033,0.18877158,-0.02322032,-0.10414818,-0.02229501,-0.0046047214,0.06898221,-0.062015627,-0.007984174
103752,-0.132275541,51.50526001,202410,0.2774053,0.2029109,0.17972977,-0.019724946,-0.10695305,-0.016252836,-0.0042615,0.08614858,-0.07593499,-0.00054980256
103753,-0.131975085,51.50538391,202410,0.24283038,0.20219283,0.19219387,-0.043409392,-0.09755909,-0.009374645,-0.0023470165,0.07646007,-0.05557384,-0.0018697287
103754,-0.134078237,51.50451655,202410,0.2548512,0.20647465,0.23376226,0.00917155,-0.15994315,-0.00127893,0.012200215,0.06573666,-0.051267803,-0.0061051263
103755,-0.133777793,51.50464047,202410,0.2568478,0.22681966,0.2225827,-0.01878616,-0.14507955,0.008352886,0.0058438047,0.07243068,-0.053596374,-0.008027952
103756,-0.133477348,51.50476438,202410,0.27314475,0.21699192,0.21834663,0.013910239,-0.1486473,0.037399698,0.025379809,0.08471475,-0.036485184,-0.00020797274
103757,-0.133176899,51.50488829,202410,0.2705047,0.20045811,0.20947461,-0.02776191,-0.109159105,-0.0028588776,0.008771627,0.07486459,-0.06619126,-0.005825447
103758,-0.130466401,51.50599709,202410,0.21963894,0.1594342,0.2039894,-0.04418892,-0.08629365,0.02273993,0.043670952,0.08451249,-0.030749295,-0.012889072
103759,-0.130166214,51.50612125,202410,0.23921931,0.14454235,0.16404735,-0.012979574,-0.034160577,0.00792274,0.04909998,0.10606504,-0.027148334,-0.014314603
103760,-0.129865916,51.50624531,202410,0.23119086,0.15024021,0.17444584,0.0143284565,-0.05377086,0.028203594,0.031136861,0.05779572,0.0025721993,-0.013844088
103761,-0.131674628,51.50550782,202410,0.22974892,0.2024093,0.20658903,-0.025034169,-0.083664045,-0.00817469,-0.0070328657,0.05817289,-0.054867927,-0.010373867
103762,-0.131374181,51.50563173,202407,0.1686114,0.1115719,0.23660316,0.03902835,-0.08048156,0.044178125,-0.050954845,0.09342264,0.03205542,-0.02510645
103763,-0.131074933,51.50575673,202410,0.1677878,0.12508433,0.23310475,-0.027248338,-0.06485745,0.017157715,0.010777877,0.078549825,-0.017525943,-0.021309422
103764,-0.130770479,51.50587677,202410,0.17404665,0.19021513,0.20774034,-0.0372639,-0.08093847,0.011317402,0.01277518,0.0633469,-0.053539317,-0.018480532
103765,-0.137689769,51.50303564,202407,0.21122433,0.17145929,0.27543873,0.042382713,-0.16700658,0.02653435,0.0312922,0.11242457,0.01940921,-0.021946227
103767,-0.137087045,51.5032817,202407,0.22496879,0.14366667,0.25814047,-0.0058707315,-0.05836349,0.004222356,-0.07244894,0.041549183,0.027822716,-0.050658595
103769,-0.138889226,51.50253787,202407,0.22607712,0.17840007,0.28240818,0.057045095,-0.17964713,0.0342008,0.044070337,0.13919455,0.030248554,0.0076922774
103771,-0.138288599,51.5027859,202407,0.22803786,0.18580288,0.25381818,0.018858593,-0.13953307,0.059525024,-0.0035832124,0.13345116,0.01123926,0.005486086
103772,-0.137989338,51.50291091,202407,0.2206435,0.18968198,0.25658438,0.049909897,-0.168203,0.0631651,-0.020006992,0.1361571,0.020774705,0.010516126
103773,-0.135279997,51.5040209,202407,0.23615174,0.1489007,0.27059767,0.016381385,-0.11157716,0.08511182,-0.037562598,0.105367355,0.03778504,-0.0077306624
103774,-0.134979559,51.50414481,202407,0.22512259,0.17238766,0.2614194,0.021923658,-0.1584068,0.07589907,-0.018664027,0.11209308,0.032238156,0.02044985
103776,-0.13437868,51.50439264,202407,0.27797234,0.15623942,0.2510448,0.007405541,-0.14572406,0.068714075,-0.006186845,0.1298275,0.036846302,-0.006889108
103777,-0.136484314,51.50352776,202407,0.1681229,0.14001949,0.27084613,0.013462152,-0.08118034,0.03254072,-0.10801482,0.044488452,0.044339854,-0.0008235392
103778,-0.136181293,51.50364914,202407,0.13720195,0.13343349,0.2771095,-0.019151144,-0.09825671,0.069584705,-0.060013182,0.068639435,0.027381312,-0.056788694
103779,-0.135880876,51.50377307,202407,0.12461005,0.16662958,0.27787447,-0.015234838,-0.13533953,0.07220226,-0.0075922515,0.08395826,0.02483629,-0.030942801
103780,-0.135580433,51.50389698,202407,0.23888704,0.13398059,0.2628646,0.018656733,-0.12265065,0.09479048,-0.0887778,0.090182096,0.03336498,-0.003191092
103781,-0.128050135,51.50702651,202206,-0.024933929,-0.040567234,0.1406207,0.1377915,0.007012424,0.13982992,0.0071489383,-0.018904315,-0.0019725468,-0.03274739
103783,-0.129481557,51.50639541,202410,0.1330201,0.090917826,0.13489027,0.05215085,-0.009410973,0.12302307,-0.03538507,0.036135793,0.043824233,-0.079209074
103785,-0.139490508,51.50229078,202410,0.11778969,0.12912777,0.2820517,0.027981756,-0.13052557,0.099297404,-0.03643356,0.08512104,-0.01841878,-0.05690152
103786,-0.139191176,51.5024154,202407,0.16447891,0.13071667,0.2867776,0.065030925,-0.17904143,0.073372625,0.03294201,0.15545155,0.03801084,-0.019006956
103787,-0.128250476,51.50684358,202206,0.00081594015,0.0337372,0.121690385,0.19795299,0.074932955,0.123455256,-0.0010334107,-0.016280118,-0.010607023,-0.07661628
103788,-0.128541291,51.50671157,202206,0.13956816,0.02859213,0.011036932,0.18888426,0.075738035,0.018782256,0.046192095,0.03225296,-0.012351323,-0.03295143
103789,-0.128841923,51.50658794,202206,0.005227456,0.07023092,0.16970822,0.206431,-0.017376069,0.07413902,0.024170134,0.08870311,0.04110237,-0.06431827
103790,-0.129146352,51.50646787,202407,-0.0021603173,0.09027212,0.18096681,0.11170981,-0.03862761,0.09878639,0.016852265,0.09724954,0.023118567,-0.089590125
104315,-0.16255186,51.5192319,202407,-0.14387819,-0.021641651,-0.04072472,-0.08087575,-0.09340912,-0.094812825,0.00029989297,-0.017077157,-0.03266788,0.04832481
104316,-0.162207295,51.51929747,202407,-0.15413891,-0.010546282,-0.037673254,-0.10654014,-0.061460715,-0.11426956,0.042412672,-0.04476271,-0.047475338,0.00552297
104317,-0.16117392,51.51949487,202407,-0.13949312,-0.099738754,-0.06310561,-0.16055687,-0.04034351,-0.052593824,0.019776985,-0.010476369,-0.1191295,0.024302997
104318,-0.160829402,51.51956054,202407,-0.18716775,-0.059903458,-0.07872962,-0.16126512,-0.08278609,-0.05154812,-0.009523379,-0.013604303,-0.09975399,0.06588598
104321,-0.163241661,51.51910229,202304,0.030064669,-0.10218821,-0.026038948,0.0027576145,-0.064951554,-0.04938687,-0.09292227,-0.01900767,0.07673639,-0.06542567
104322,-0.16289649,51.51916645,202407,-0.14842707,-0.005440622,0.051831994,-0.13373365,-0.09182315,-0.046877246,-0.017706614,0.010695507,0.059227094,0.0010319969
104364,-0.155850063,51.52044901,202407,-0.19272564,-0.11484577,-0.019395709,-0.10725857,-0.10041405,-0.031137722,-0.0063764416,-0.02567718,-0.04811259,0.115859635
104365,-0.156194705,51.52038359,202407,-0.18395793,-0.12925118,0.010317581,-0.10780255,-0.11205415,-0.034697298,0.01758261,-0.0168959,-0.038756065,0.06533095
104376,-0.15736333,51.52017232,202407,-0.08635821,-0.026591377,-0.016205942,-0.14088029,-0.12070488,-0.066881984,0.02814787,-0.016056258,0.049358442,-0.011715751
104377,-0.157017946,51.52023602,202407,-0.13678846,-0.16151454,0.00801074,-0.18403786,-0.05479377,-0.02436517,0.008368298,0.004189105,-0.03189262,0.025568945
104378,-0.152294649,51.520735,201709,-0.042059958,-0.101453684,-0.015201283,-0.119229734,-0.055009264,0.031080248,0.06148675,-0.14567783,-0.06746159,-0.100529514
104379,-0.152653407,51.52071456,201709,-0.20659244,-0.04481753,-0.045119297,-0.18026157,-0.050602596,-0.024047641,0.06585678,-0.09565026,-0.041942842,-0.11123826
104380,-0.159095046,51.51986334,202407,-0.19586723,0.12161406,-0.096263915,-0.027535057,-0.092397146,0.023485083,0.026228834,-0.02697921,0.02056095,0.07495851
104381,-0.158748758,51.51992519,202407,-0.24215162,0.12656875,0.02925014,-0.046018496,-0.05798071,0.06832824,0.018958947,-0.06140427,0.00046207203,0.09759521
